vector_type,algorithm,size,time_ms,stress,carga,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
reversed,HeapSort,10000000,675.625,none,0,43128,42934,15.2909,426919609,216912428
reversed,MergeSort,10000000,491.395,none,0,81992,49259,9.56107,114434624,0
reversed,QuickSort,10000000,296.547,none,0,43128,42933,6.75218,434489484,122326263
reversed,HeapSort,10000000,671.817,none,0,43104,42910,15.422,426919609,216912428
reversed,MergeSort,10000000,445.231,none,0,81896,48352,10.6958,114434624,0
reversed,QuickSort,10000000,296.753,none,0,43116,42921,6.89372,434489484,122326263
reversed,HeapSort,10000000,676.004,none,0,43068,42874,15.3083,426919609,216912428
reversed,MergeSort,10000000,477.868,none,0,81948,48768,9.47709,114434624,0
reversed,QuickSort,10000000,296.205,none,0,43132,42937,6.71299,434489484,122326263
reversed,HeapSort,10000000,726.927,none,0,43120,42927,14.0559,426919609,216912428
reversed,MergeSort,10000000,489.108,none,0,81944,48912,9.07883,114434624,0
reversed,QuickSort,10000000,296.951,none,0,43080,42885,6.80742,434489484,122326263
reversed,HeapSort,10000000,739.771,none,0,43116,42922,15.213,426919609,216912428
reversed,MergeSort,10000000,485.974,none,0,81952,48672,9.16044,114434624,0
reversed,QuickSort,10000000,298.376,none,0,43128,42933,6.76512,434489484,122326263
reversed,HeapSort,10000000,827.037,cpu,0.5,43252,43067,41.2235,426919609,216912428
reversed,HeapSort,10000000,759.318,ram,0.5,16819964,16820183,19.5983,426919609,216912428
reversed,HeapSort,10000000,834.524,both,0.5,16820144,16820299,45.5373,426919609,216912428
reversed,MergeSort,10000000,640.902,cpu,0.5,81992,48837,31.9066,114434624,0
reversed,MergeSort,10000000,511.68,ram,0.5,16859108,16826202,12.0143,114434624,0
reversed,MergeSort,10000000,631.159,both,0.5,16858928,16826040,34.5436,114434624,0
reversed,QuickSort,10000000,419.251,cpu,0.5,43196,43010,15.7869,434489484,122326263
reversed,QuickSort,10000000,299.897,ram,0.5,16819940,16820221,9.30521,434489484,122326263
reversed,QuickSort,10000000,431.911,both,0.5,16820144,16820302,16.9975,434489484,122326263
reversed,HeapSort,10000000,826.957,cpu,0.5,43256,43071,41.0345,426919609,216912428
reversed,HeapSort,10000000,674.504,ram,0.5,16819908,16820186,22.2151,426919609,216912428
reversed,HeapSort,10000000,936.76,both,0.5,16819760,16820303,37.8622,426919609,216912428
reversed,MergeSort,10000000,617.509,cpu,0.5,82000,48666,30.8557,114434624,0
reversed,MergeSort,10000000,509.822,ram,0.5,16859084,16826435,12.2022,114434624,0
reversed,MergeSort,10000000,723.02,both,0.5,16859204,16825820,27.9198,114434624,0
reversed,QuickSort,10000000,402.821,cpu,0.5,43248,43062,16.7664,434489484,122326263
reversed,QuickSort,10000000,298.937,ram,0.5,16819964,16820177,9.64329,434489484,122326263
reversed,QuickSort,10000000,419.858,both,0.5,16820008,16820290,17.4231,434489484,122326263
reversed,HeapSort,10000000,828.628,cpu,0.5,43232,43047,41.0689,426919609,216912428
reversed,HeapSort,10000000,674.539,ram,0.5,16819932,16820209,22.3356,426919609,216912428
reversed,HeapSort,10000000,845.147,both,0.5,16820084,16820243,44.6181,426919609,216912428
reversed,MergeSort,10000000,625.652,cpu,0.5,82112,48870,31.2582,114434624,0
reversed,MergeSort,10000000,470.428,ram,0.5,16859300,16826474,13.7066,114434624,0
reversed,MergeSort,10000000,728.288,both,0.5,16859196,16826281,27.6737,114434624,0
reversed,QuickSort,10000000,380.153,cpu,0.5,43256,43070,18.488,434489484,122326263
reversed,QuickSort,10000000,297.695,ram,0.5,16820016,16820233,9.53556,434489484,122326263
reversed,QuickSort,10000000,440.366,both,0.5,16820084,16820238,16.9962,434489484,122326263
reversed,HeapSort,10000000,973.868,cpu,0.5,43252,43067,32.5574,426919609,216912428
reversed,HeapSort,10000000,670.591,ram,0.5,16819928,16820210,22.564,426919609,216912428
reversed,HeapSort,10000000,942.595,both,0.5,16820016,16820303,37.3115,426919609,216912428
reversed,MergeSort,10000000,736.785,cpu,0.5,82020,49092,24.9544,114434624,0
reversed,MergeSort,10000000,454.506,ram,0.5,16859300,16825546,14.2921,114434624,0
reversed,MergeSort,10000000,756.251,both,0.5,16859332,16825856,30.2024,114434624,0
reversed,QuickSort,10000000,406.455,cpu,0.5,43240,43054,16.5419,434489484,122326263
reversed,QuickSort,10000000,299.666,ram,0.5,16819964,16820181,9.59409,434489484,122326263
reversed,QuickSort,10000000,420.958,both,0.5,16819756,16820298,17.7098,434489484,122326263
reversed,HeapSort,10000000,827.882,cpu,0.5,43256,43071,40.8956,426919609,216912428
reversed,HeapSort,10000000,767.386,ram,0.5,16819908,16820191,19.9054,426919609,216912428
reversed,HeapSort,10000000,833.855,both,0.5,16820008,16820295,45.3518,426919609,216912428
reversed,MergeSort,10000000,626.606,cpu,0.5,82116,48937,31.1502,114434624,0
reversed,MergeSort,10000000,462.383,ram,0.5,16859300,16826302,14.4532,114434624,0
reversed,MergeSort,10000000,742.102,both,0.5,16859116,16825753,27.6568,114434624,0
reversed,QuickSort,10000000,381.005,cpu,0.5,43196,43010,18.4248,434489484,122326263
reversed,QuickSort,10000000,329.416,ram,0.5,16819796,16820201,8.53898,434489484,122326263
reversed,QuickSort,10000000,381.585,both,0.5,16820048,16820266,20.6432,434489484,122326263
reversed,HeapSort,10000000,1018.8,cpu,1,43296,43143,38.1234,426919609,216912428
reversed,HeapSort,10000000,1050.45,ram,1,30969144,30866134,31.8356,426919609,216912428
reversed,HeapSort,10000000,1623.88,both,1,30942688,30856180,62.972,426919609,216912428
reversed,MergeSort,10000000,1008.9,cpu,1,82176,48914,37.923,114434624,0
reversed,MergeSort,10000000,606.355,ram,1,30947540,30851292,21.2738,114434624,0
reversed,MergeSort,10000000,1835.89,both,1,30885716,30809746,76.7731,114434624,0
reversed,QuickSort,10000000,555.325,cpu,1,43244,43093,25.6237,434489484,122326263
reversed,QuickSort,10000000,488.696,ram,1,30896984,30818181,14.1892,434489484,122326263
reversed,QuickSort,10000000,823.944,both,1,30930996,30894710,38.8643,434489484,122326263
reversed,HeapSort,10000000,1364.76,cpu,1,43296,43143,62.6947,426919609,216912428
reversed,HeapSort,10000000,892.218,ram,1,31093868,31017732,35.0462,426919609,216912428
reversed,HeapSort,10000000,1704.84,both,1,31124664,31055913,80.5318,426919609,216912428
reversed,MergeSort,10000000,989.061,cpu,1,82032,48341,37.4187,114434624,0
reversed,MergeSort,10000000,677.375,ram,1,31117800,31025540,17.0285,114434624,0
reversed,MergeSort,10000000,1784.71,both,1,31108348,31037620,74.4033,114434624,0
reversed,QuickSort,10000000,587.807,cpu,1,43240,43086,28.3936,434489484,122326263
reversed,QuickSort,10000000,462.45,ram,1,31096404,30993943,15.3514,434489484,122326263
reversed,QuickSort,10000000,929.927,both,1,31112740,31064011,45.3317,434489484,122326263
reversed,HeapSort,10000000,1106.71,cpu,1,43240,43087,41.1807,426919609,216912428
reversed,HeapSort,10000000,950.152,ram,1,31253048,31159974,36.2639,426919609,216912428
reversed,HeapSort,10000000,1394.36,both,1,31242060,31152900,57.5942,426919609,216912428
reversed,MergeSort,10000000,738.171,cpu,1,82128,48732,27.2999,114434624,0
reversed,MergeSort,10000000,641.63,ram,1,31235512,31140944,19.2126,114434624,0
reversed,MergeSort,10000000,1619.3,both,1,31258424,31169819,74.6654,114434624,0
reversed,QuickSort,10000000,455.264,cpu,1,43288,43134,18.0347,434489484,122326263
reversed,QuickSort,10000000,425.843,ram,1,31263416,31180969,14.7162,434489484,122326263
reversed,QuickSort,10000000,905.705,both,1,31252088,31156134,41.8969,434489484,122326263
reversed,HeapSort,10000000,1206.73,cpu,1,43292,43142,51.2508,426919609,216912428
reversed,HeapSort,10000000,990.283,ram,1,31122380,31049611,43.0036,426919609,216912428
reversed,HeapSort,10000000,2071.27,both,1,31142476,31059144,91.1835,426919609,216912428
reversed,MergeSort,10000000,832.66,cpu,1,81972,48974,35.7784,114434624,0
reversed,MergeSort,10000000,642.283,ram,1,31151032,31048207,23.0891,114434624,0
reversed,MergeSort,10000000,1868.94,both,1,31146552,31068748,82.9392,114434624,0
reversed,QuickSort,10000000,431.902,cpu,1,43292,43138,21.7739,434489484,122326263
